title,slug,country,category,nco2004_3d,nco2015_3d,employment_workers,worker_share,median_monthly_earnings_inr,median_annual_earnings_inr,plfs_pay_confidence,employment_confidence,vacancies_90d,demand_index,demand_confidence,education_mix_json,rural_urban_split_json,sources_json,description_source,postings_source,url
Numerical Clerks,412-numerical-clerks,India,clerical,412,431,8300000,1.88,24000,288000,approximation,approximation,4700,57,approximation,"{""Below secondary"": 12, ""Diploma/Certificate"": 16, ""Graduate"": 30, ""Postgraduate+"": 8, ""Secondary"": 34}","{""rural"": 18, ""urban"": 82}","[{""name"": ""NCO 2004 group title"", ""type"": ""official-taxonomy"", ""status"": ""seeded""}, {""name"": ""PLFS 2023-24 aggregate placeholder"", ""type"": ""official-labour-stats"", ""status"": ""approximation""}, {""name"": ""NCS vacancy proxy placeholder"", ""type"": ""demand-proxy"", ""status"": ""approximation""}]",seed-demo,seed-demo,https://www.ncs.gov.in/Pages/Search.aspx
Client Information Clerks,422-client-information-clerks,India,service-office,422,422,6700000,1.52,23000,276000,approximation,approximation,8200,68,approximation,"{""Below secondary"": 12, ""Diploma/Certificate"": 16, ""Graduate"": 30, ""Postgraduate+"": 8, ""Secondary"": 34}","{""rural"": 18, ""urban"": 82}","[{""name"": ""NCO 2004 group title"", ""type"": ""official-taxonomy"", ""status"": ""seeded""}, {""name"": ""PLFS 2023-24 aggregate placeholder"", ""type"": ""official-labour-stats"", ""status"": ""approximation""}, {""name"": ""NCS vacancy proxy placeholder"", ""type"": ""demand-proxy"", ""status"": ""approximation""}]",seed-demo,seed-demo,https://www.ncs.gov.in/Pages/Search.aspx
House Keeping and Restaurant Services Workers,512-house-keeping-and-restaurant-services-workers,India,hospitality,512,513,9600000,2.18,17000,204000,approximation,approximation,6400,52,approximation,"{""Below secondary"": 36, ""Diploma/Certificate"": 11, ""Graduate"": 14, ""Postgraduate+"": 3, ""Secondary"": 36}","{""rural"": 18, ""urban"": 82}","[{""name"": ""NCO 2004 group title"", ""type"": ""official-taxonomy"", ""status"": ""seeded""}, {""name"": ""PLFS 2023-24 aggregate placeholder"", ""type"": ""official-labour-stats"", ""status"": ""approximation""}, {""name"": ""NCS vacancy proxy placeholder"", ""type"": ""demand-proxy"", ""status"": ""approximation""}]",seed-demo,seed-demo,https://www.ncs.gov.in/Pages/Search.aspx
Personal Care Workers,513-personal-care-workers,India,care,513,532,5200000,1.18,18500,222000,approximation,approximation,4300,50,approximation,"{""Below secondary"": 36, ""Diploma/Certificate"": 11, ""Graduate"": 14, ""Postgraduate+"": 3, ""Secondary"": 36}","{""rural"": 56, ""urban"": 44}","[{""name"": ""NCO 2004 group title"", ""type"": ""official-taxonomy"", ""status"": ""seeded""}, {""name"": ""PLFS 2023-24 aggregate placeholder"", ""type"": ""official-labour-stats"", ""status"": ""approximation""}, {""name"": ""NCS vacancy proxy placeholder"", ""type"": ""demand-proxy"", ""status"": ""approximation""}]",seed-demo,seed-demo,https://www.ncs.gov.in/Pages/Search.aspx
Shop Salespersons and Demonstrators,522-shop-salespersons-and-demonstrators,India,retail,522,522,27000000,6.12,19000,228000,approximation,approximation,15000,63,approximation,"{""Below secondary"": 36, ""Diploma/Certificate"": 11, ""Graduate"": 14, ""Postgraduate+"": 3, ""Secondary"": 36}","{""rural"": 56, ""urban"": 44}","[{""name"": ""NCO 2004 group title"", ""type"": ""official-taxonomy"", ""status"": ""seeded""}, {""name"": ""PLFS 2023-24 aggregate placeholder"", ""type"": ""official-labour-stats"", ""status"": ""approximation""}, {""name"": ""NCS vacancy proxy placeholder"", ""type"": ""demand-proxy"", ""status"": ""approximation""}]",seed-demo,seed-demo,https://www.ncs.gov.in/Pages/Search.aspx
Market Gardeners and Crop Growers,611-market-gardeners-and-crop-growers,India,agriculture,611,611,42000000,9.52,14000,168000,approximation,approximation,2100,19,approximation,"{""Below secondary"": 62, ""Diploma/Certificate"": 5, ""Graduate"": 6, ""Postgraduate+"": 1, ""Secondary"": 26}","{""rural"": 84, ""urban"": 16}","[{""name"": ""NCO 2004 group title"", ""type"": ""official-taxonomy"", ""status"": ""seeded""}, {""name"": ""PLFS 2023-24 aggregate placeholder"", ""type"": ""official-labour-stats"", ""status"": ""approximation""}, {""name"": ""NCS vacancy proxy placeholder"", ""type"": ""demand-proxy"", ""status"": ""approximation""}]",seed-demo,seed-demo,https://www.ncs.gov.in/Pages/Search.aspx
Market-Oriented Animal Producers and Related Workers,612-market-oriented-animal-producers-and-related-workers,India,agriculture,612,612,18500000,4.19,15000,180000,approximation,approximation,1100,23,approximation,"{""Below secondary"": 62, ""Diploma/Certificate"": 5, ""Graduate"": 6, ""Postgraduate+"": 1, ""Secondary"": 26}","{""rural"": 84, ""urban"": 16}","[{""name"": ""NCO 2004 group title"", ""type"": ""official-taxonomy"", ""status"": ""seeded""}, {""name"": ""PLFS 2023-24 aggregate placeholder"", ""type"": ""official-labour-stats"", ""status"": ""approximation""}, {""name"": ""NCS vacancy proxy placeholder"", ""type"": ""demand-proxy"", ""status"": ""approximation""}]",seed-demo,seed-demo,https://www.ncs.gov.in/Pages/Search.aspx
Market-Oriented Crop and Animal Producers,613-market-oriented-crop-and-animal-producers,India,agriculture,613,613,57000000,12.92,14500,174000,approximation,approximation,2400,18,approximation,"{""Below secondary"": 62, ""Diploma/Certificate"": 5, ""Graduate"": 6, ""Postgraduate+"": 1, ""Secondary"": 26}","{""rural"": 84, ""urban"": 16}","[{""name"": ""NCO 2004 group title"", ""type"": ""official-taxonomy"", ""status"": ""seeded""}, {""name"": ""PLFS 2023-24 aggregate placeholder"", ""type"": ""official-labour-stats"", ""status"": ""approximation""}, {""name"": ""NCS vacancy proxy placeholder"", ""type"": ""demand-proxy"", ""status"": ""approximation""}]",seed-demo,seed-demo,https://www.ncs.gov.in/Pages/Search.aspx
Building Frame and Related Trades Workers,712-building-frame-and-related-trades-workers,India,construction,712,711,11400000,2.58,21000,252000,approximation,approximation,2900,38,approximation,"{""Below secondary"": 33, ""Diploma/Certificate"": 17, ""Graduate"": 8, ""Postgraduate+"": 2, ""Secondary"": 40}","{""rural"": 56, ""urban"": 44}","[{""name"": ""NCO 2004 group title"", ""type"": ""official-taxonomy"", ""status"": ""seeded""}, {""name"": ""PLFS 2023-24 aggregate placeholder"", ""type"": ""official-labour-stats"", ""status"": ""approximation""}, {""name"": ""NCS vacancy proxy placeholder"", ""type"": ""demand-proxy"", ""status"": ""approximation""}]",seed-demo,seed-demo,https://www.ncs.gov.in/Pages/Search.aspx
Building Finishers and Related Trades Workers,713-building-finishers-and-related-trades-workers,India,construction,713,712,9300000,2.11,20500,246000,approximation,approximation,2500,36,approximation,"{""Below secondary"": 33, ""Diploma/Certificate"": 17, ""Graduate"": 8, ""Postgraduate+"": 2, ""Secondary"": 40}","{""rural"": 56, ""urban"": 44}","[{""name"": ""NCO 2004 group title"", ""type"": ""official-taxonomy"", ""status"": ""seeded""}, {""name"": ""PLFS 2023-24 aggregate placeholder"", ""type"": ""official-labour-stats"", ""status"": ""approximation""}, {""name"": ""NCS vacancy proxy placeholder"", ""type"": ""demand-proxy"", ""status"": ""approximation""}]",seed-demo,seed-demo,https://www.ncs.gov.in/Pages/Search.aspx
Machinery Mechanics and Fitters,723-machinery-mechanics-and-fitters,India,industrial-trades,723,723,6800000,1.54,28000,336000,approximation,approximation,3300,46,approximation,"{""Below secondary"": 33, ""Diploma/Certificate"": 17, ""Graduate"": 8, ""Postgraduate+"": 2, ""Secondary"": 40}","{""rural"": 56, ""urban"": 44}","[{""name"": ""NCO 2004 group title"", ""type"": ""official-taxonomy"", ""status"": ""seeded""}, {""name"": ""PLFS 2023-24 aggregate placeholder"", ""type"": ""official-labour-stats"", ""status"": ""approximation""}, {""name"": ""NCS vacancy proxy placeholder"", ""type"": ""demand-proxy"", ""status"": ""approximation""}]",seed-demo,seed-demo,https://www.ncs.gov.in/Pages/Search.aspx
Electrical and Electronic Equipment Mechanics and Fitters,724-electrical-and-electronic-equipment-mechanics-and-fitters,India,industrial-trades,724,741,4900000,1.11,30000,360000,approximation,approximation,3600,58,approximation,"{""Below secondary"": 33, ""Diploma/Certificate"": 17, ""Graduate"": 8, ""Postgraduate+"": 2, ""Secondary"": 40}","{""rural"": 56, ""urban"": 44}","[{""name"": ""NCO 2004 group title"", ""type"": ""official-taxonomy"", ""status"": ""seeded""}, {""name"": ""PLFS 2023-24 aggregate placeholder"", ""type"": ""official-labour-stats"", ""status"": ""approximation""}, {""name"": ""NCS vacancy proxy placeholder"", ""type"": ""demand-proxy"", ""status"": ""approximation""}]",seed-demo,seed-demo,https://www.ncs.gov.in/Pages/Search.aspx
"Textile, Garment and Related Trades Workers",743-textile-garment-and-related-trades-workers,India,manufacturing,743,753,13200000,2.99,18500,222000,approximation,approximation,5100,42,approximation,"{""Below secondary"": 33, ""Diploma/Certificate"": 17, ""Graduate"": 8, ""Postgraduate+"": 2, ""Secondary"": 40}","{""rural"": 56, ""urban"": 44}","[{""name"": ""NCO 2004 group title"", ""type"": ""official-taxonomy"", ""status"": ""seeded""}, {""name"": ""PLFS 2023-24 aggregate placeholder"", ""type"": ""official-labour-stats"", ""status"": ""approximation""}, {""name"": ""NCS vacancy proxy placeholder"", ""type"": ""demand-proxy"", ""status"": ""approximation""}]",seed-demo,seed-demo,https://www.ncs.gov.in/Pages/Search.aspx
Food and Related Products Machine Operators,827-food-and-related-products-machine-operators,India,manufacturing,827,816,3500000,0.79,22000,264000,approximation,approximation,1900,41,approximation,"{""Below secondary"": 36, ""Diploma/Certificate"": 11, ""Graduate"": 14, ""Postgraduate+"": 3, ""Secondary"": 36}","{""rural"": 56, ""urban"": 44}","[{""name"": ""NCO 2004 group title"", ""type"": ""official-taxonomy"", ""status"": ""seeded""}, {""name"": ""PLFS 2023-24 aggregate placeholder"", ""type"": ""official-labour-stats"", ""status"": ""approximation""}, {""name"": ""NCS vacancy proxy placeholder"", ""type"": ""demand-proxy"", ""status"": ""approximation""}]",seed-demo,seed-demo,https://www.ncs.gov.in/Pages/Search.aspx
Motor Vehicle Drivers,832-motor-vehicle-drivers,India,transport,832,833,16800000,3.81,24000,288000,approximation,approximation,12400,61,approximation,"{""Below secondary"": 36, ""Diploma/Certificate"": 11, ""Graduate"": 14, ""Postgraduate+"": 3, ""Secondary"": 36}","{""rural"": 56, ""urban"": 44}","[{""name"": ""NCO 2004 group title"", ""type"": ""official-taxonomy"", ""status"": ""seeded""}, {""name"": ""PLFS 2023-24 aggregate placeholder"", ""type"": ""official-labour-stats"", ""status"": ""approximation""}, {""name"": ""NCS vacancy proxy placeholder"", ""type"": ""demand-proxy"", ""status"": ""approximation""}]",seed-demo,seed-demo,https://www.ncs.gov.in/Pages/Search.aspx
Sales and Service Elementary Occupations,911-sales-and-service-elementary-occupations,India,elementary-service,911,962,29400000,6.66,16000,192000,approximation,approximation,5800,33,approximation,"{""Below secondary"": 36, ""Diploma/Certificate"": 11, ""Graduate"": 14, ""Postgraduate+"": 3, ""Secondary"": 36}","{""rural"": 56, ""urban"": 44}","[{""name"": ""NCO 2004 group title"", ""type"": ""official-taxonomy"", ""status"": ""seeded""}, {""name"": ""PLFS 2023-24 aggregate placeholder"", ""type"": ""official-labour-stats"", ""status"": ""approximation""}, {""name"": ""NCS vacancy proxy placeholder"", ""type"": ""demand-proxy"", ""status"": ""approximation""}]",seed-demo,seed-demo,https://www.ncs.gov.in/Pages/Search.aspx
"Agricultural, Fishery and Related Labourers",920-agricultural-fishery-and-related-labourers,India,agriculture,920,921,78000000,17.68,13000,156000,approximation,approximation,1700,12,approximation,"{""Below secondary"": 62, ""Diploma/Certificate"": 5, ""Graduate"": 6, ""Postgraduate+"": 1, ""Secondary"": 26}","{""rural"": 84, ""urban"": 16}","[{""name"": ""NCO 2004 group title"", ""type"": ""official-taxonomy"", ""status"": ""seeded""}, {""name"": ""PLFS 2023-24 aggregate placeholder"", ""type"": ""official-labour-stats"", ""status"": ""approximation""}, {""name"": ""NCS vacancy proxy placeholder"", ""type"": ""demand-proxy"", ""status"": ""approximation""}]",seed-demo,seed-demo,https://www.ncs.gov.in/Pages/Search.aspx
"Labourers in Mining, Construction, Manufacturing and Transport",931-labourers-in-mining-construction-manufacturing-and-transport,India,manual-labour,931,931,46500000,10.54,16500,198000,approximation,approximation,3500,24,approximation,"{""Below secondary"": 33, ""Diploma/Certificate"": 17, ""Graduate"": 8, ""Postgraduate+"": 2, ""Secondary"": 40}","{""rural"": 56, ""urban"": 44}","[{""name"": ""NCO 2004 group title"", ""type"": ""official-taxonomy"", ""status"": ""seeded""}, {""name"": ""PLFS 2023-24 aggregate placeholder"", ""type"": ""official-labour-stats"", ""status"": ""approximation""}, {""name"": ""NCS vacancy proxy placeholder"", ""type"": ""demand-proxy"", ""status"": ""approximation""}]",seed-demo,seed-demo,https://www.ncs.gov.in/Pages/Search.aspx
